"id","purpose","freq_dep","freq_arr","freq_dur"
17,"esc",841,796,7
17,"idisc",730,1045,227
17,"imain",2798,3468,350
17,"jdisc",121,183,29
17,"jmain",400,529,37
17,"sch",112,1059,6296
17,"Total",7579,10454,10559
17,"univ",152,324,242
17,"work",1581,1498,3369
18,"atwork",502,1035,1
18,"esc",944,881,8
18,"idisc",734,1030,213
18,"imain",2662,3165,289
18,"jdisc",104,202,11
18,"jmain",376,516,29
18,"sch",131,1355,3163
18,"Total",7125,10237,9384
18,"univ",139,262,214
18,"work",1533,1791,5456
19,"atwork",252,532,2
19,"esc",2939,894,4
19,"idisc",764,1073,177
19,"imain",2718,3662,240
19,"jdisc",94,190,18
19,"jmain",368,548,24
19,"sch",138,1682,2280
19,"Total",8915,10982,11332
19,"univ",120,261,157
19,"work",1522,2140,8430
20,"atwork",205,367,0
20,"esc",5254,2971,2
20,"idisc",704,980,160
20,"imain",2678,3411,215
20,"jdisc",96,168,13
20,"jmain",379,467,18
20,"sch",150,4038,2316
20,"Total",11028,15283,12424
20,"univ",90,289,144
20,"work",1472,2592,9556
21,"atwork",163,291,0
21,"esc",4717,5408,2
21,"idisc",737,843,144
21,"imain",2465,3121,152
21,"jdisc",138,145,13
21,"jmain",338,458,16
21,"sch",182,9831,1876
21,"Total",10235,23486,9664
21,"univ",75,343,118
21,"work",1420,3046,7343
22,"atwork",139,201,0
22,"esc",3779,5621,0
22,"idisc",793,860,128
22,"imain",2423,3251,126
22,"jdisc",167,153,8
22,"jmain",433,469,16
22,"sch",184,9231,1070
22,"Total",9283,24211,6697
22,"univ",63,346,103
22,"work",1302,4079,5246
23,"atwork",102,165,0
23,"esc",2238,3055,0
23,"idisc",1155,814,116
23,"imain",2343,3215,87
23,"jdisc",292,145,4
23,"jmain",465,492,8
23,"sch",200,5568,421
23,"Total",8067,18636,4105
23,"univ",60,336,63
23,"work",1212,4846,3406
24,"atwork",86,128,0
24,"esc",1778,2380,0
24,"idisc",1312,830,115
24,"imain",2007,3503,76
24,"jdisc",479,138,12
24,"jmain",460,571,4
24,"sch",178,3177,272
24,"Total",7532,17063,2588
24,"univ",36,338,72
24,"work",1196,5998,2037
25,"atwork",111,117,0
25,"esc",1175,1546,1
25,"idisc",1359,1094,98
25,"imain",1728,2979,66
25,"jdisc",563,217,6
25,"jmain",496,534,5
25,"sch",170,2724,208
25,"Total",6965,17558,1885
25,"univ",280,296,75
25,"work",1083,8051,1426
26,"atwork",72,91,0
26,"esc",1056,1208,0
26,"idisc",1632,1142,77
26,"imain",1687,2365,63
26,"jdisc",850,304,6
26,"jmain",494,476,6
26,"sch",164,2646,133
26,"Total",7163,17829,1317
26,"univ",189,321,57
26,"work",1019,9276,975
27,"atwork",73,65,0
27,"esc",785,1065,0
27,"idisc",2115,1253,67
27,"imain",1596,1983,27
27,"jdisc",1063,393,6
27,"jmain",467,447,5
27,"sch",137,2031,74
27,"Total",7377,15621,836
27,"univ",147,256,62
27,"work",994,8128,595
28,"atwork",74,73,0
28,"esc",632,824,0
28,"idisc",2635,1416,51
28,"imain",1454,2108,39
28,"jdisc",1320,520,3
28,"jmain",551,540,2
28,"sch",89,1080,36
28,"Total",7731,12590,507
28,"univ",106,275,34
28,"work",870,5754,342
29,"atwork",79,59,0
29,"esc",521,632,0
29,"idisc",2554,1611,30
29,"imain",1503,1540,29
29,"jdisc",1495,641,2
29,"jmain",543,463,4
29,"sch",71,526,26
29,"Total",7642,9387,296
29,"univ",100,260,19
29,"work",776,3655,186
30,"atwork",63,71,0
30,"esc",468,539,0
30,"idisc",1321,1721,24
30,"imain",1067,1642,19
30,"jdisc",575,785,4
30,"jmain",429,525,1
30,"sch",40,340,31
30,"Total",4673,9323,232
30,"univ",19,238,29
30,"work",691,3462,124
31,"atwork",52,67,0
31,"esc",374,478,0
31,"idisc",438,1882,16
31,"imain",854,1611,12
31,"jdisc",232,961,0
31,"jmain",297,537,1
31,"sch",35,200,21
31,"Total",2898,8256,129
31,"univ",19,234,23
31,"work",597,2286,56
32,"atwork",64,64,0
32,"esc",294,375,0
32,"idisc",311,2050,16
32,"imain",529,1679,9
32,"jdisc",130,1019,2
32,"jmain",185,548,1
32,"sch",18,99,22
32,"Total",2023,7894,96
32,"univ",12,234,14
32,"work",480,1826,32
33,"atwork",45,53,0
33,"esc",251,300,0
33,"idisc",220,2085,9
33,"imain",323,1180,2
33,"jdisc",111,994,0
33,"jmain",104,362,0
33,"sch",17,49,14
33,"Total",1436,6695,44
33,"univ",13,234,8
33,"work",352,1438,11
34,"atwork",48,53,0
34,"esc",213,274,0
34,"idisc",172,2191,7
34,"imain",241,859,3
34,"jdisc",64,971,0
34,"jmain",69,261,0
34,"sch",15,33,14
34,"Total",1108,6129,35
34,"univ",16,190,6
34,"work",270,1297,5
35,"atwork",41,54,0
35,"esc",197,215,0
35,"idisc",149,1032,2
35,"imain",147,548,3
35,"jdisc",41,366,0
35,"jmain",43,165,3
35,"sch",10,26,5
35,"Total",852,3776,15
35,"univ",8,189,2
35,"work",216,1181,0
36,"atwork",42,69,0
36,"esc",170,203,0
36,"idisc",92,906,3
36,"imain",98,393,1
36,"jdisc",23,260,0
36,"jmain",20,113,0
36,"sch",11,34,0
36,"Total",641,3331,5
36,"univ",7,136,0
36,"work",178,1217,1
37,"atwork",30,58,0
37,"esc",131,154,0
37,"idisc",72,548,1
37,"imain",68,314,0
37,"jdisc",14,137,0
37,"jmain",12,75,0
37,"sch",5,33,1
37,"Total",474,2598,2
37,"univ",5,119,0
37,"work",137,1160,0
38,"atwork",21,43,0
38,"esc",89,143,0
38,"idisc",37,464,1
38,"imain",40,238,0
38,"jdisc",8,95,0
38,"jmain",9,43,0
38,"sch",10,40,2
38,"Total",330,2365,3
38,"univ",1,81,0
38,"work",115,1218,0
39,"atwork",16,37,0
39,"esc",114,115,0
39,"idisc",30,214,0
39,"imain",28,180,0
39,"jdisc",5,30,0
39,"jmain",3,29,0
39,"sch",2,33,0
39,"Total",286,2131,0
39,"univ",3,70,0
39,"work",85,1423,0
40,"atwork",22,46,0
40,"esc",80,198,0
40,"idisc",16,224,0
40,"imain",10,135,0
40,"jdisc",1,48,0
40,"jmain",2,23,0
40,"sch",1,33,0
40,"Total",263,3372,0
40,"univ",0,57,0
40,"work",131,2608,0
