"distbin","PURPOSE","freq"
6,"sch",151.61209172
7,"sch",581.33887604
8,"sch",448.7503479
9,"sch",143.75006423
1,"esco",116.3760955
10,"esco",57.94944076
11,"esco",0
12,"esco",252.1203379
13,"esco",0
14,"esco",0
15,"esco",0
16,"esco",136.589408
17,"esco",163.946126
18,"esco",0
19,"esco",0
2,"esco",3522.95913431
20,"esco",57.94944076
21,"esco",0
22,"esco",0
23,"esco",0
24,"esco",0
25,"esco",0
26,"esco",0
27,"esco",0
28,"esco",0
29,"esco",0
3,"esco",1461.58854499
30,"esco",0
31,"esco",0
32,"esco",0
33,"esco",0
34,"esco",0
35,"esco",0
36,"esco",0
37,"esco",0
38,"esco",0
39,"esco",0
4,"esco",641.24918886
40,"esco",0
41,"esco",0
42,"esco",0
5,"esco",436.69857911
6,"esco",300.77492032
7,"esco",103.37871206
8,"esco",61.16047552
9,"esco",33.9238352
1,"imain",1876.87216865
10,"imain",319.60364736
11,"imain",467.69162546
12,"imain",314.07586568
13,"imain",90.19920348
14,"imain",144.10871645
15,"imain",263.23041078
16,"imain",55.49482784
17,"imain",277.43174841
18,"imain",277.42538562
19,"imain",139.2573135
2,"imain",28382.711213917
20,"imain",87.26933128
21,"imain",44.12481165
22,"imain",84.88858323
23,"imain",0
24,"imain",67.37114825
25,"imain",0
26,"imain",0
27,"imain",0
28,"imain",0
29,"imain",35.97344947
3,"imain",8961.627604188
30,"imain",0
31,"imain",0
32,"imain",0
33,"imain",35.57488605
34,"imain",0
35,"imain",0
36,"imain",30.12547667
37,"imain",0
38,"imain",0
39,"imain",0
4,"imain",4095.85356567
40,"imain",0
41,"imain",0
42,"imain",364.05073054
5,"imain",3727.02902687
6,"imain",2049.61418959
7,"imain",1085.304683209
8,"imain",770.31817308
9,"imain",468.77461805
1,"idisc",1681.07939189
10,"idisc",328.45846495
11,"idisc",400.50544366
12,"idisc",133.98513434
13,"idisc",17.84365889
14,"idisc",35.29013405
15,"idisc",173.52283737
16,"idisc",172.58261402
17,"idisc",22.15105766
18,"idisc",0
19,"idisc",134.49592709
2,"idisc",24299.22439426
20,"idisc",177.49335412
21,"idisc",106.58487467
22,"idisc",14.94094502
23,"idisc",0
24,"idisc",22.88171357
25,"idisc",0
26,"idisc",37.85770273
27,"idisc",0
28,"idisc",35.27414517
29,"idisc",0
3,"idisc",7556.75734303
30,"idisc",33.9238352
31,"idisc",0
32,"idisc",100.5586613
33,"idisc",0
34,"idisc",0
35,"idisc",0
36,"idisc",0
37,"idisc",0
38,"idisc",26.45454599
39,"idisc",38.17717125
4,"idisc",4495.34308074
40,"idisc",0
41,"idisc",0
42,"idisc",53.25071725
5,"idisc",2150.13174268
6,"idisc",928.5160741
7,"idisc",1634.57445607
8,"idisc",1694.20146114
9,"idisc",698.51597611
1,"jmain",1194.73913497
10,"jmain",21.97375399
11,"jmain",0
12,"jmain",21.97375399
13,"jmain",0
14,"jmain",0
15,"jmain",0
16,"jmain",0
17,"jmain",143.8065795
18,"jmain",0
19,"jmain",0
2,"jmain",10339.45440842
20,"jmain",0
21,"jmain",0
22,"jmain",0
23,"jmain",0
24,"jmain",0
25,"jmain",0
26,"jmain",0
27,"jmain",0
28,"jmain",0
29,"jmain",0
3,"jmain",3039.0603198
30,"jmain",0
31,"jmain",0
32,"jmain",0
33,"jmain",0
34,"jmain",0
35,"jmain",57.842264
36,"jmain",0
37,"jmain",0
38,"jmain",0
39,"jmain",0
4,"jmain",1891.00865324
40,"jmain",0
41,"jmain",0
42,"jmain",0
5,"jmain",556.53953393
6,"jmain",915.07127729
7,"jmain",410.30920301
8,"jmain",289.15119957
9,"jmain",49.37583003
1,"jdisc",306.35654634
10,"jdisc",33.17396057
11,"jdisc",108.6458105
12,"jdisc",0
13,"jdisc",0
14,"jdisc",0
15,"jdisc",171.51088142
16,"jdisc",0
17,"jdisc",0
18,"jdisc",0
19,"jdisc",0
2,"jdisc",2906.69686179
20,"jdisc",0
21,"jdisc",0
22,"jdisc",0
23,"jdisc",0
24,"jdisc",0
25,"jdisc",21.97375399
26,"jdisc",0
27,"jdisc",0
28,"jdisc",0
29,"jdisc",0
3,"jdisc",1771.42084756
30,"jdisc",0
31,"jdisc",0
32,"jdisc",0
33,"jdisc",0
34,"jdisc",0
35,"jdisc",0
36,"jdisc",0
37,"jdisc",0
38,"jdisc",0
39,"jdisc",0
4,"jdisc",1301.95386651
40,"jdisc",0
41,"jdisc",0
42,"jdisc",0
5,"jdisc",384.16187739
6,"jdisc",200.20904269
7,"jdisc",129.53507872
8,"jdisc",0
9,"jdisc",41.99142976
1,"atwork",89.96007887
10,"atwork",0
11,"atwork",0
12,"atwork",0
13,"atwork",0
14,"atwork",0
15,"atwork",0
16,"atwork",0
17,"atwork",0
18,"atwork",0
19,"atwork",0
2,"atwork",7560.06506941
20,"atwork",0
21,"atwork",0
22,"atwork",0
23,"atwork",0
24,"atwork",0
25,"atwork",37.85307475
26,"atwork",0
27,"atwork",0
28,"atwork",0
29,"atwork",0
3,"atwork",795.35870312
30,"atwork",0
31,"atwork",0
32,"atwork",0
33,"atwork",0
34,"atwork",0
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",380.5126
40,"atwork",0
41,"atwork",0
42,"atwork",75.06660814
5,"atwork",102.62516533
6,"atwork",35.29013405
7,"atwork",120.91753042
8,"atwork",0
9,"atwork",35.27414517
1,"Total",7735.14702429
10,"Total",2195.68831051
11,"Total",2345.77500506
12,"Total",1745.15163832
13,"Total",285.65081483
14,"Total",406.91055632
15,"Total",978.92102216
16,"Total",784.44113099
17,"Total",898.57882846
18,"Total",1150.71015599
19,"Total",273.75324059
2,"Total",115691.914859797
20,"Total",553.50020807
21,"Total",358.64970449
22,"Total",175.51769853
23,"Total",0
24,"Total",125.82774787
25,"Total",59.82682874
26,"Total",144.29760888
27,"Total",0
28,"Total",35.27414517
29,"Total",35.97344947
3,"Total",38832.355133608
30,"Total",406.34902796
31,"Total",325.16553201
32,"Total",303.2115925
33,"Total",35.57488605
34,"Total",0
35,"Total",273.60700283
36,"Total",30.12547667
37,"Total",44.43948998
38,"Total",26.45454599
39,"Total",239.80805195
4,"Total",21800.65187159
40,"Total",0
41,"Total",0
42,"Total",774.15565536
5,"Total",10620.60223717
6,"Total",7369.86607287
7,"Total",6143.792003089
8,"Total",4919.86863484
9,"Total",2467.71372903
